代碼,商品,股本,產業,產業地位
2028,威致,32.57,上市鋼鐵,台灣三大電爐廠之一，主要銷售鋼筋及鋼胚
2029,盛餘,32.12,上市鋼鐵,台灣鍍面一貫化處理鋼捲製造商
2030,彰源,28.05,上市鋼鐵,台灣前二大不鏽鋼管製造廠
2031,新光鋼,30.85,上市鋼鐵,台灣鋼剪裁大廠，以內銷為主
2032,新鋼,13.05,上市鋼鐵,以內銷為主的不鏽鋼裁剪加工廠
2033,佳大,8.07,上市鋼鐵,致力於鋼線鋼纜產品業務
2034,允強,43.71,上市鋼鐵,亞洲最大不鏽鋼管加工裁剪廠
2035,唐榮,35.00,上櫃鋼鐵,台灣第二大不鏽鋼廠
2038,海光,18.13,上市鋼鐵,台灣鋼筋大廠之一
2049,上銀,33.09,上市電機機械,全球前三大滾珠螺桿廠商
2059,川湖,9.53,"上市電子全部,上市電子零組件",全球知名伺服器導軌廠
2061,風青,4.69,上櫃電器電纜,台灣知名漆包線供應商
2062,橋椿,16.30,上市其他,全球最大鋅合金水龍頭零組件廠
2063,世鎧,4.50,上櫃鋼鐵,台灣最大不鏽鋼及合金鋼複合螺絲製造公司
2064,晉椿,6.96,上櫃鋼鐵,高階棒鋼龍頭大廠
2065,世豐,4.54,上櫃鋼鐵,台灣最大烤漆、噴頭表面塗裝螺絲廠
2066,世德,3.65,上櫃電機機械,全球汽車大廠之第一階扣件及金屬零件供應商
2067,嘉鋼,4.51,上櫃電機機械,台灣小型鑄件廠
2069,運錩,15.64,上市鋼鐵,台灣不銹鋼材料加工製造廠
2070,精湛,3.58,上櫃電機機械,台灣緊固件篩選設備大廠
2101,南港,83.39,上市橡膠,台灣擁有土地資產的老牌輪胎廠
2102,泰豐,47.33,上市橡膠,台灣輪胎製造商
2103,台橡,82.57,上市橡膠,全球前七大橡膠生產製造商
2104,國際中橡,98.47,上市橡膠,全球市佔率前五大的碳煙公司
2105,正新,324.14,上市橡膠,台灣最大、全球前十大輪胎製造商
2106,建大,90.94,上市橡膠,台灣第二大輪胎廠
2107,厚生,34.23,上市橡膠,主要從事營建與倉儲業務，也從事於橡膠與塑膠皮加工
2108,南帝,49.24,上市橡膠,全球前五大NBR乳膠廠
2109,華豐,27.93,上市橡膠,台灣前六大輪胎廠
2114,鑫永銓,7.09,上市橡膠,台灣最大、全球前十大橡膠輸送帶商
2115,六暉-KY,9.04,上市汽車,全球最大氣門嘴製造商
2201,裕隆,100.00,上市汽車,與日本Nissan技術合作之汽車製造商，並推出納智捷自有品牌
2204,中華,55.36,上市汽車,裕隆集團與日本三菱技術合作之汽車製造廠
2206,三陽工業,80.31,上市汽車,現代汽車台灣代理商及台灣知名機車製造商
2207,和泰車,54.62,上市汽車,TOYOTA台灣獨家代理商
2208,台船,92.41,上市航運業,台灣第一大造船公司
2211,長榮鋼,42.00,上市鋼鐵,長榮集團旗下之鋼結構製造廠
2221,大甲,4.23,上櫃其他,台灣最大不鏽鋼焊接管配件廠，客戶以化工廠為主
2227,裕日車,30.00,上市汽車,裕隆集團為NISSAN在台灣地區研發及銷售成立之公司
2228,劍麟,7.58,上市汽車,為汽車安全氣囊零組件製造商
2230,泰茂,3.99,上櫃電機機械,台灣第一大活塞環廠商
2231,為升,12.19,上市汽車,主要經營電裝品、TPMS及毫米波雷達銷售
2233,宇隆,6.03,上市汽車,汽車噴油嘴零件大廠
2235,謚源,3.59,上櫃電機機械,為車用水箱風扇製造商，堤維西為其最大股東
2236,百達-KY,4.58,上市汽車,全球唯二汽車零組件一條龍之新加坡商
2239,英利-KY,11.80,上市汽車,台商企業，為大陸整車廠提供汽車結構件
2241,艾姆勒,8.99,上市汽車,主要生產電動車及油電混合車的逆變器散熱產品
2243,宏旭-KY,4.59,上市汽車,大陸台資第一大、行業前五大的車身模具廠
2247,汎德永業,8.07,上市汽車,豪華進口車代理商
2250,IKKA-KY,2.70,上市汽車,日本車用沖壓件OEM廠商
2301,光寶科,235.09,"上市電子全部,上市電腦及週邊設備",台灣第一家上市電子公司，產品應用涵蓋4C領域
2302,麗正,16.63,"上市電子全部,上市半導體",台灣整流二極體廠商
2303,聯電,1283.41,"上市電子全部,上市半導體",全球前十大晶圓代工廠之一
