"股票代碼","名稱","差額(仟元)","買進","賣出","外資","投信","自營商"
"9914","美利達","-42,677","","美商高盛: -24139 										 										永豐金-中正: -3085 										 										新加坡商瑞銀: -15453","3","4","1"
"2883","開發金","-41,522","港商麥格理: 49 										 										永豐金-中正: 1029 										 										永豐金-板橋: 639 										 										富邦-板橋: 1496 										 										(牛牛牛)亞-鑫豐: 4160","統一-台中: -1092 										 										瑞士信貸: -23874 										 										摩根大通: -23929","-1","-6","7"
"3152","璟德","-41,456","","美商高盛: -39982 										 										永豐金-板橋: -983 										 										中國信託-嘉義: -491","-9","4","1"
"2376","技嘉","-40,847","玉山-城中: 913 										 										瑞士信貸: 43321 										 										統一-敦南: 1021 										 										台新-高雄: 2106","美商高盛: -28398 										 										中國信託-忠孝: -1369 										 										國票-長城: -8045 										 										摩根大通: -27048 										 										新加坡商瑞銀: -23348","-3","-7","4"
"5880","合庫金","-40,807","兆豐-中壢: 608 										 										台新-高雄: 4215 										 										玉山-雙和: 818","瑞士信貸: -12824 										 										摩根大通: -33624","-2","0","1"
"3017","奇鋐","-40,008","統一-敦南: 773 										 										永豐金-中正: 2902 										 										國票-長城: 850","港商麥格理: -568 										 										(牛牛牛)亞-網路: -847 										 										摩根大通: -41638 										 										中國信託-嘉義: -496 										 										兆豐-忠孝: -984","1","0","-2"
"2369","菱生","-39,248","中國信託-忠孝: 2142","美商高盛: -13282 										 										摩根大通: -28108","-2","0","-2"
"1904","正隆","-38,413","玉山-城中: 654 										 										凱基-松山: 974","瑞士信貸: -32194 										 										永豐金-中正: -3871 										 										新光-新竹: -3976","-9","0","-3"
"3189","景碩","-38,006","兆豐-中壢: 245 										 										中國信託-忠孝: 1478 										 										(牛牛牛)亞-鑫豐: 3296 										 										富邦-台北: 2179 										 										元大-竹科: 2069","美商高盛: -19623 										 										永豐金-中正: -1091 										 										台灣匯立證券: -24207 										 										日盛-景美: -2352","-1","-1","-4"
"5351","鈺創","-35,173","康和-澎湖: 322 										 										玉山-城中: 695 										 										台新-高雄: 2630 										 										日盛-景美: 743","統一-敦南: -816 										 										摩根大通: -38747","-1","0","0"
"8069","元太","-34,587","統一-台中: 834 										 										統一-敦南: 1163","兆豐-中壢: -704 										 										中國信託-忠孝: -836 										 										摩根大通: -35044","-1","0","2"
"1476","儒鴻","-34,128","瑞士信貸: 38390 										 										港商麥格理: 4992 										 										摩根大通: 45356","美商高盛: -92106 										 										永豐金-中正: -1877 										 										台灣匯立證券: -26086 										 										日盛-景美: -1556 										 										元大-竹科: -1241","1","-9","-1"
"6505","台塑化","-32,801","","瑞士信貸: -12033 										 										新加坡商瑞銀: -20768","-4","7","1"
"1717","長興","-32,664","兆豐-忠孝: 1111 										 										凱基-大安: 576","玉山-城中: -1868 										 										統一-台中: -1047 										 										瑞士信貸: -31436","-3","0","4"
"2492","華新科","-32,577","統一-台中: 1208 										 										永豐金-板橋: 831 										 										凱基-松山: 2071 										 										(牛牛牛)亞-網路: 3527 										 										台新-高雄: 1602 										 										富邦-台北: 6440 										 										新光-新竹: 1656 										 										玉山-雙和: 1051","兆豐-中壢: -831 										 										永豐金-中正: -21252 										 										新加坡商瑞銀: -28880","-2","-6","3"
"3016","嘉晶","-31,405","中國信託-忠孝: 1143 										 										永豐金-中正: 1031","港商麥格理: -33579","-1","0","2"
"6488","環球晶","-29,941","玉山-城中: 908 										 										港商麥格理: 5316 										 										永豐金-中正: 1845 										 										凱基-松山: 2640 										 										兆豐-忠孝: 1740 										 										日盛-景美: 890","美商高盛: -12876 										 										統一-敦南: -883 										 										國票-長城: -2613 										 										台新-高雄: -1752 										 										中國信託-嘉義: -910 										 										台灣匯立證券: -15719 										 										新光-新竹: -6769 										 										玉山-雙和: -884 										 										凱基-大安: -874","-4","-1","-5"
"2884","玉山金","-29,085","凱基-松山: 1136","玉山-城中: -2886 										 										瑞士信貸: -27335","1","0","1"
"6533","晶心科","-28,382","(牛牛牛)亞-網路: 2712 										 										中國信託-嘉義: 479 										 										兆豐-忠孝: 891","統一-台中: -2472 										 										摩根大通: -27202 										 										日盛-景美: -1381 										 										玉山-雙和: -1409","-1","0","-1"
"6457","紘康","-28,082","中國信託-忠孝: 1638","永豐金-中正: -29720","-2","0","1"
"2338","光罩","-27,513","兆豐-中壢: 686 										 										玉山-城中: 1633 										 										凱基-松山: 620 										 										兆豐-忠孝: 7227 										 										凱基-大安: 857","統一-台中: -2063 										 										永豐金-板橋: -1288 										 										摩根大通: -26158 										 										中國信託-嘉義: -1299 										 										新光-新竹: -7036 										 										玉山-雙和: -692","-1","1","-1"
"8110","華東","-27,249","","瑞士信貸: -11966 										 										新加坡商瑞銀: -15283","-2","0","2"
